Trial,Fast,Slow,CAGR,Sharpe,Drawdown,Returns
74,10,124,0.08,0.88,-0.18,1.6806397316986241
73,10,123,0.07,0.85,-0.18,1.656431908964417
72,10,122,0.07,0.85,-0.18,1.656431908964417
147,11,122,0.07,0.85,-0.18,1.6528339290440321
149,11,124,0.07,0.84,-0.19,1.6474582411083787
289,13,114,0.07,0.84,-0.18,1.6464243095767515
290,13,115,0.07,0.84,-0.18,1.6464243095767515
148,11,123,0.07,0.83,-0.19,1.6391983729298152
71,10,121,0.07,0.84,-0.18,1.6387717389330898
139,11,114,0.07,0.84,-0.18,1.6383575148112255
140,11,115,0.07,0.84,-0.18,1.6376446741808495
275,13,100,0.07,0.83,-0.16,1.6302343782028625
146,11,121,0.07,0.83,-0.19,1.6284841243777437
135,11,110,0.07,0.82,-0.19,1.6237900170472173
142,11,117,0.07,0.82,-0.19,1.622713454549594
136,11,111,0.07,0.82,-0.19,1.620145100113191
55,10,105,0.07,0.83,-0.19,1.619857175624564
141,11,116,0.07,0.82,-0.19,1.6198215484112803
138,11,113,0.07,0.82,-0.19,1.618907080057986
137,11,112,0.07,0.82,-0.19,1.6184828659451946
288,13,113,0.07,0.81,-0.19,1.618443496757364
143,11,118,0.07,0.82,-0.2,1.6153790175532965
69,10,119,0.07,0.82,-0.18,1.611883341669132
70,10,120,0.07,0.82,-0.18,1.6118833416691318
52,10,102,0.07,0.83,-0.19,1.610489864277386
274,13,99,0.07,0.8,-0.17,1.6101012314226277
145,11,120,0.07,0.81,-0.19,1.6089302817512867
144,11,119,0.07,0.81,-0.19,1.6089302817512867
292,13,117,0.07,0.8,-0.18,1.6083858502264816
1,10,51,0.06,0.79,-0.13,1.606117567148358
134,11,109,0.07,0.81,-0.19,1.6048530628406148
291,13,116,0.07,0.79,-0.18,1.6038572193382916
54,10,104,0.07,0.81,-0.19,1.6036722735491258
220,12,120,0.07,0.79,-0.18,1.6013121291893038
63,10,113,0.07,0.81,-0.19,1.5993801621938428
198,12,98,0.07,0.79,-0.15,1.5985258414379595
214,12,114,0.07,0.79,-0.19,1.5979593667240242
210,12,110,0.07,0.8,-0.21,1.5976970295259674
66,10,116,0.07,0.8,-0.2,1.5962501186594236
103,11,78,0.06,0.79,-0.16,1.5916173739256894
51,10,101,0.07,0.81,-0.19,1.5904963360011157
221,12,121,0.07,0.78,-0.18,1.5895453357408695
222,12,122,0.07,0.78,-0.18,1.5895453357408693
174,12,74,0.06,0.79,-0.13,1.5894217656419218
